timestamp,actual_x,actual_y,actual_theta,target_id,target_name,target_type,target_info,planned_x,planned_y,planned_theta,error_distance,error_angle,cur_ie,cur_ir
2025-05-02 11:00:17,-0.509782,-0.436732,169.813,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0165743,0.597339,0.0270863,0.982568
2025-05-02 11:00:28,-2.81275,-0.0861712,171.148,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0359431,0.700719,0.0454503,1
2025-05-02 11:00:57,-0.493603,-0.41788,168.583,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0217322,0.633,0.027979,0.994755
2025-05-02 11:01:09,-2.79899,-0.0982439,170.798,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.05286,0.350593,0.0449477,0.999426
2025-05-02 11:01:38,-0.489592,-0.414798,168.607,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0262639,0.608914,0.0268367,0.97722
2025-05-02 11:01:50,-2.79872,-0.0987163,170.835,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0532938,0.387519,0.045816,0.994179
2025-05-02 11:02:20,-0.484035,-0.414635,168.604,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0317221,0.611413,0.0262217,0.977113
2025-05-02 11:02:32,-2.79397,-0.0902583,170.97,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0551616,0.522059,0.0454627,0.993556
2025-05-02 11:03:01,-0.485072,-0.419586,168.598,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.030068,0.618114,0.0276797,0.970035
2025-05-02 11:03:13,-2.78896,-0.0894255,170.95,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0598759,0.50303,0.0463513,0.972302
2025-05-02 11:03:43,-0.491318,-0.420981,168.575,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0237867,0.640705,0.0294594,0.917201
2025-05-02 11:03:55,-2.79692,-0.0893038,170.967,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0520655,0.519916,0.0474531,0.974742
2025-05-02 11:04:24,-0.50125,-0.418137,168.47,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0141544,0.745423,0.0306931,0.929281
2025-05-02 11:04:36,-2.81972,-0.0851321,170.907,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0289271,0.459551,0.0463792,0.977011
2025-05-02 11:05:04,-0.496134,-0.421436,168.567,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0189745,0.64843,0.0301378,0.920728
2025-05-02 11:05:17,-2.80807,-0.0849704,170.899,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0402627,0.451352,0.046212,0.97052
2025-05-02 11:05:45,-0.496703,-0.41982,168.524,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.018442,0.691807,0.0275947,0.928158
2025-05-02 11:06:00,-2.80574,-0.0877793,171.045,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0431371,0.597277,0.0451206,0.977714
2025-05-02 11:06:28,-0.503992,-0.417459,168.623,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0116736,0.592523,0.0274437,0.925861
